"facet","lag","quantile","direction","SACTN","SAWS","cooccurrence","proportion"
"Eastern Beach - East London",2,0,"b",21,1,0,0
"Eastern Beach - East London",2,0,"x",21,1,0,0
"Eastern Beach - East London",2,0,"a",21,1,0,0
"Eastern Beach - East London",2,0.25,"b",16,1,0,0
"Eastern Beach - East London",2,0.25,"x",16,1,0,0
"Eastern Beach - East London",2,0.25,"a",16,1,0,0
"Eastern Beach - East London",2,0.5,"b",11,1,0,0
"Eastern Beach - East London",2,0.5,"x",11,1,0,0
"Eastern Beach - East London",2,0.5,"a",11,1,0,0
"Eastern Beach - East London",2,0.75,"b",6,1,0,0
"Eastern Beach - East London",2,0.75,"x",6,1,0,0
"Eastern Beach - East London",2,0.75,"a",6,1,0,0
"Eastern Beach - East London",2,1,"b",1,1,0,0
"Eastern Beach - East London",2,1,"x",1,1,0,0
"Eastern Beach - East London",2,1,"a",1,1,0,0
"Eastern Beach - East London",6,0,"b",21,1,0,0
"Eastern Beach - East London",6,0,"x",21,1,0,0
"Eastern Beach - East London",6,0,"a",21,1,0,0
"Eastern Beach - East London",6,0.25,"b",16,1,0,0
"Eastern Beach - East London",6,0.25,"x",16,1,0,0
"Eastern Beach - East London",6,0.25,"a",16,1,0,0
"Eastern Beach - East London",6,0.5,"b",11,1,0,0
"Eastern Beach - East London",6,0.5,"x",11,1,0,0
"Eastern Beach - East London",6,0.5,"a",11,1,0,0
"Eastern Beach - East London",6,0.75,"b",6,1,0,0
"Eastern Beach - East London",6,0.75,"x",6,1,0,0
"Eastern Beach - East London",6,0.75,"a",6,1,0,0
"Eastern Beach - East London",6,1,"b",1,1,0,0
"Eastern Beach - East London",6,1,"x",1,1,0,0
"Eastern Beach - East London",6,1,"a",1,1,0,0
"Eastern Beach - East London",10,0,"b",21,1,0,0
"Eastern Beach - East London",10,0,"x",21,1,0,0
"Eastern Beach - East London",10,0,"a",21,1,0,0
"Eastern Beach - East London",10,0.25,"b",16,1,0,0
"Eastern Beach - East London",10,0.25,"x",16,1,0,0
"Eastern Beach - East London",10,0.25,"a",16,1,0,0
"Eastern Beach - East London",10,0.5,"b",11,1,0,0
"Eastern Beach - East London",10,0.5,"x",11,1,0,0
"Eastern Beach - East London",10,0.5,"a",11,1,0,0
"Eastern Beach - East London",10,0.75,"b",6,1,0,0
"Eastern Beach - East London",10,0.75,"x",6,1,0,0
"Eastern Beach - East London",10,0.75,"a",6,1,0,0
"Eastern Beach - East London",10,1,"b",1,1,0,0
"Eastern Beach - East London",10,1,"x",1,1,0,0
"Eastern Beach - East London",10,1,"a",1,1,0,0
"Eastern Beach - East London",14,0,"b",21,1,0,0
"Eastern Beach - East London",14,0,"x",21,1,0,0
"Eastern Beach - East London",14,0,"a",21,1,0,0
"Eastern Beach - East London",14,0.25,"b",16,1,0,0
"Eastern Beach - East London",14,0.25,"x",16,1,0,0
"Eastern Beach - East London",14,0.25,"a",16,1,0,0
"Eastern Beach - East London",14,0.5,"b",11,1,0,0
"Eastern Beach - East London",14,0.5,"x",11,1,0,0
