"site","station","overlap","overall_years","overall_frequency","overall_duration","overall_intensity","distance"
"Ystervarkpunt","MOLTENORESERVOIR",7,3,0.26,1.04,-0.18,310.55
"Ystervarkpunt","MOSSELBAY",0,0,0,0,0,42.94
"Ystervarkpunt","PAARL",13,8,0.67,2.29,-0.5,265.89
"Ystervarkpunt","PLETTENBERGBAAI",13,5,0.84,2.94,-0.28,149.8
"Ystervarkpunt","PORTELIZABETHAWOS",13,6,1.14,2.33,-0.63,359.46
"Ystervarkpunt","PORTELIZABETHAWS",0,0,0,0,0,359.28
"Ystervarkpunt","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,363.53
"Ystervarkpunt","PORTELIZABETH-WK",0,0,0,0,0,358.02
"Ystervarkpunt","PORTNOLLOTH",0,0,0,0,0,734.49
"Ystervarkpunt","RIVERSDAL",0,0,0,0,0,57
"Ystervarkpunt","SAASTRONOMICALOBSERVATORY",13,8,0.43,1.64,-0.42,304.59
"Ystervarkpunt","SPRINGBOK-WK",0,0,0,0,0,639.52
"Ystervarkpunt","SPRINGBOKWO",13,7,0.76,2,-0.26,639.52
"Ystervarkpunt","STRAND",12,6,0.94,2.01,-0.4,267.22
"Ystervarkpunt","TSITSIKAMMA",13,6,0.8,3.17,-0.51,202.87
"Ystervarkpunt","TYGERHOEK",13,6,0.7,1.96,-0.5,171.06
"Ystervarkpunt","UITENHAGE",13,4,1,3.73,-0.59,348.83
"Ystervarkpunt","VIOOLSDRIF",8,0,NA,NA,NA,745.2
"Ystervarkpunt","VIOOLSDRIF-AWS",6,2,0.6,1.26,-0.31,737.41
"Ystervarkpunt","WILLOWMORE",13,5,0.89,2.55,-0.65,202.2
